emp_no,first_name,last_name,title,from_date,salary
299709,Jinxi,Marrevee,Staff,2000-01-20,78346
225453,Huan,Rothenberg,Engineer,2000-01-20,40000
296790,Shaleah,Oppitz,Senior Engineer,2000-01-20,40000
82295,Manohar,Parfitt,Engineer,2000-01-20,42368
39048,Valery,Lanphier,Staff,2000-01-20,76047
497845,Nirmal,Ramaiah,Senior Staff,2000-01-20,42407
294563,Jeane,Fioravanti,Staff,2000-01-19,70761
428725,Tonny,Berendt,Engineer,2000-01-19,51795
88101,Zongyan,Strooper,Engineer,2000-01-19,40000
74024,Dinkar,Cools,Senior Engineer,2000-01-18,84359
277455,Luigi,Kermarrec,Engineer,2000-01-17,53161
287608,Eberhardt,Picco,Assistant Engineer,2000-01-17,40000
259536,Siamak,Verhoeff,Engineer,2000-01-17,50216
34184,Shiv,Klassen,Senior Engineer,2000-01-17,55794
32037,Bader,Ozeri,Engineer,2000-01-17,40000
35298,Houman,Esteva,Engineer,2000-01-17,40000
86005,Sahrah,Samarati,Senior Staff,2000-01-16,44056
73375,Aiichiro,Kragelund,Staff,2000-01-15,55932
45333,Leszek,Waeselynck,Senior Engineer,2000-01-15,63235
86037,Khaled,Badache,Staff,2000-01-15,44296
294692,Marie,Lakshmanan,Staff,2000-01-14,68872
67138,Surveyors,Kaltofen,Technique Leader,2000-01-14,40000
23034,Josyula,Rosca,Engineer,2000-01-14,40000
261580,Kellie,Chappelet,Engineer,2000-01-14,40000
406344,Seshu,Grabner,Senior Engineer,2000-01-13,54532
431869,Dietrich,Collette,Engineer,2000-01-13,65762
43132,Pramod,Zumaque,Engineer,2000-01-13,46069
35371,Arup,Chleq,Senior Engineer,2000-01-13,40000
449962,Marsal,Heystek,Staff,2000-01-13,76262
56272,Tremaine,Furudate,Engineer,2000-01-12,40000
223995,Hyuckchul,Beilner,Engineer,2000-01-12,40000
481200,Seongbae,Bain,Engineer,2000-01-12,61682
75081,Vesna,Gien,Staff,2000-01-12,89182
420522,Tua,Kadhim,Engineer,2000-01-11,48400
52916,Paris,Schusler,Senior Staff,2000-01-11,63229
292168,Zhonghua,Syrzycki,Staff,2000-01-11,40000
200658,Nathan,Gire,Senior Staff,2000-01-11,67624
100042,Raimond,Turnbull,Staff,2000-01-11,84331
49766,Anestis,Staylopatis,Staff,2000-01-11,53487
434758,Alair,Tzvieli,Staff,2000-01-11,48812
226681,Persi,Coullard,Engineer,2000-01-10,59351
38993,Gal,Aseltine,Staff,2000-01-10,55323
42410,Marjo,Falster,Engineer,2000-01-09,40000
427202,Rutger,Waeselynck,Engineer,2000-01-09,40000
468046,Perry,Perez,Senior Engineer,2000-01-08,40000
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,54246
494913,Parviz,Hitomi,Senior Engineer,2000-01-07,40000
88563,Mototsugu,Rodite,Staff,2000-01-07,56118
401655,Honglan,Deyuan,Engineer,2000-01-07,41940
285643,Dulce,Rusterholz,Assistant Engineer,2000-01-07,64562
489124,Chandrasekaran,Uhrig,Engineer,2000-01-06,40000
285649,Gian,Ranai,Engineer,2000-01-06,48375
109681,Marsal,Ramaiah,Senior Engineer,2000-01-06,40000
47376,Mats,Rouquie,Technique Leader,2000-01-04,65898
57294,Sariel,Engelmann,Staff,2000-01-04,61930
275386,Parke,Lortz,Staff,2000-01-04,83406
270099,Krister,Rosaz,Staff,2000-01-04,69919
261010,Fei,Nourani,Engineer,2000-01-03,42646
33211,Prodip,DuBourdieux,Senior Engineer,2000-01-03,40000
250516,Oddvar,Baig,Engineer,2000-01-03,40000
105965,Djelloul,Kolvik,Staff,2000-01-02,60694
218965,Jiakeng,Uludag,Staff,2000-01-02,67406
282598,Adly,Gonthier,Senior Engineer,2000-01-02,70715
36463,Chanjung,Burnard,Staff,2000-01-02,68998
240834,Basil,Gelosh,Engineer,2000-01-02,40000
218119,Giri,Mahmud,Staff,2000-01-01,42629
215402,Sanjiv,Prochazka,Staff,2000-01-01,64432
449996,Georg,Kavvadias,Engineer,2000-01-01,40000
52391,Horward,Varker,Engineer,1999-12-31,40000
419053,Irene,Karcich,Staff,1999-12-31,40000
46260,Tze,Karlin,Technique Leader,1999-12-31,53467
223645,Tomokazu,Shumilov,Senior Staff,1999-12-30,46019
107506,Kenroku,Guting,Senior Engineer,1999-12-30,61252
53318,Mohua,Hooghiemstra,Senior Staff,1999-12-29,54405
411377,Arto,Junet,Staff,1999-12-29,71801
429130,Franziska,Zlotek,Engineer,1999-12-29,46609
467163,Sadok,Heering,Staff,1999-12-29,70996
218855,Elvia,Bratsberg,Staff,1999-12-28,40000
17412,Leni,Vilarrasa,Staff,1999-12-27,43480
51593,Masasuke,Pardalos,Technique Leader,1999-12-27,40000
296800,Remmert,Haraldson,Staff,1999-12-27,94110
92323,Florina,Azuma,Staff,1999-12-27,67140
246510,Chinho,Zedlitz,Engineer,1999-12-27,42650
14372,Saniya,Srimani,Engineer,1999-12-26,57667
267124,Kwangsub,Bauknecht,Staff,1999-12-26,42867
448460,Selwyn,Kuszyk,Engineer,1999-12-26,64437
78511,Pramod,Mitina,Senior Engineer,1999-12-25,44235
294548,Rosita,Eiron,Staff,1999-12-25,50601
460325,Manton,Ghelli,Engineer,1999-12-25,41918
408434,Xuejun,Snedden,Engineer,1999-12-24,40000
471929,Kristen,Bale,Engineer,1999-12-24,66719
52867,Yishay,Lindenbaum,Staff,1999-12-23,77395
237158,Shaowei,Hertweck,Staff,1999-12-23,66731
205492,Wojceich,Lorch,Engineer,1999-12-23,78252
20336,Magy,Wolniewicz,Engineer,1999-12-22,73502
473214,Miomir,Validov,Senior Staff,1999-12-22,40000
471637,Jaihie,Butner,Engineer,1999-12-22,40000
266853,Hironobu,Piancastelli,Engineer,1999-12-22,53101
472149,Sverrir,Luck,Senior Engineer,1999-12-22,56745
460956,Gad,Vieri,Engineer,1999-12-21,77261
249663,Xuedong,Braccini,Staff,1999-12-21,71103
227042,Gay,Templeman,Technique Leader,1999-12-21,75976
460854,Minghong,Pelc,Staff,1999-12-20,53309
471545,Kwangyoen,Guting,Technique Leader,1999-12-20,40000
25797,Morrie,Nooteboom,Engineer,1999-12-20,40000
24196,Radhika,Boyle,Engineer,1999-12-20,68657
235659,Hideyuki,Lanzelotte,Assistant Engineer,1999-12-20,51011
289054,Youjian,Hutton,Senior Engineer,1999-12-20,40000
109083,Moto,Merel,Staff,1999-12-20,81320
239074,Chenyi,Koprowski,Staff,1999-12-19,53772
55511,Bernt,Marshall,Senior Staff,1999-12-19,45647
458474,Rosalie,Pashtan,Technique Leader,1999-12-19,40000
213944,Goetz,Bondorf,Staff,1999-12-19,56986
25867,Mamdouh,Ernst,Senior Staff,1999-12-18,69313
444353,Mansur,Zeilberger,Engineer,1999-12-18,91505
42765,Filipp,Bresenham,Senior Staff,1999-12-18,58435
24680,Garnet,Takkinen,Senior Engineer,1999-12-18,46522
432545,Chikako,Tanemo,Engineer,1999-12-17,43040
85199,Souichi,Barbanera,Engineer,1999-12-16,51152
299959,Shichao,Trystram,Staff,1999-12-16,41232
94822,Marit,Parascandalo,Staff,1999-12-16,64435
485820,Mitsuyuki,Chinal,Engineer,1999-12-15,44784
255965,Kolar,Cooke,Engineer,1999-12-15,61396
290108,Tomokazu,Jonsson,Engineer,1999-12-15,53918
462419,Chinho,Peris,Staff,1999-12-15,48972
426679,Zita,Ranze,Engineer,1999-12-14,40000
19996,Berni,Chinen,Senior Engineer,1999-12-14,56085
23869,Raimond,Stiles,Engineer,1999-12-14,40000
400288,Paddy,Macedo,Engineer,1999-12-14,48182
48832,Kitty,Clouatre,Technique Leader,1999-12-14,40000
286550,Ghassan,Furudate,Engineer,1999-12-14,40000
77147,Elrique,Baez,Engineer,1999-12-13,84965
458479,Arto,Schwaller,Technique Leader,1999-12-13,40000
82145,Zhongwei,Pagter,Staff,1999-12-13,46607
77201,Kiyotoshi,Butner,Staff,1999-12-13,82923
446468,Kagan,Lanphier,Engineer,1999-12-13,52014
26037,Radhika,Gadepally,Engineer,1999-12-12,43940
447622,Tokuyasu,Lipner,Senior Staff,1999-12-12,45713
232716,Manu,Bruckman,Staff,1999-12-12,66737
471887,Volkmar,Renear,Senior Engineer,1999-12-12,60460
42686,Tadanori,Wossner,Staff,1999-12-12,40000
212940,Nahid,Syrzycki,Engineer,1999-12-12,40000
437209,Nishit,Pero,Staff,1999-12-12,47983
29032,Mizuhito,Rassart,Engineer,1999-12-11,61256
277331,Uno,Ghalwash,Engineer,1999-12-11,47627
214765,Jongsuk,Keustermans,Senior Staff,1999-12-10,50057
41667,Barna,Facello,Senior Engineer,1999-12-10,40000
99476,Shahaf,Laventhal,Staff,1999-12-09,40000
457598,Marla,Vidya,Technique Leader,1999-12-09,80429
237483,Morrie,Zumaque,Senior Engineer,1999-12-09,40000
75172,Xianlong,Kohling,Senior Engineer,1999-12-09,48451
482074,Sven,Strandh,Senior Staff,1999-12-09,40000
247332,Hugo,Gerlach,Engineer,1999-12-08,43849
293468,Harjit,Azevdeo,Senior Engineer,1999-12-08,56890
16341,Boutros,Fendler,Senior Staff,1999-12-08,40000
91496,Sven,Casperson,Senior Staff,1999-12-07,55157
206343,Aris,Erie,Staff,1999-12-07,40545
222598,Lokesh,Bade,Staff,1999-12-07,42312
31193,Ranan,Stranks,Engineer,1999-12-07,47837
451751,Kwan,Hasham,Staff,1999-12-07,75400
205944,Kwangho,Nitsch,Engineer,1999-12-07,40000
29191,Ayakannu,Krogh,Engineer,1999-12-07,46650
480973,Emdad,Gien,Technique Leader,1999-12-06,66454
469712,Yolla,Gargeya,Assistant Engineer,1999-12-06,47803
220765,Ekawit,Merel,Senior Engineer,1999-12-05,67976
490930,Tua,Godskesen,Staff,1999-12-05,89194
474410,Souichi,Potthoff,Senior Engineer,1999-12-04,41590
489518,Alexius,Dulay,Engineer,1999-12-04,49548
104931,Kristin,Delaune,Staff,1999-12-04,98125
208725,Gilbert,Baig,Senior Staff,1999-12-04,41468
24003,Ronnie,Linares,Engineer,1999-12-04,59452
475924,Tran,Herath,Engineer,1999-12-04,40000
218192,Mandell,Paludetto,Senior Engineer,1999-12-04,43674
472959,Mingdong,Leslie,Staff,1999-12-04,68535
46901,Krisda,Orlowska,Engineer,1999-12-03,41985
473783,Steve,Marchegay,Senior Staff,1999-12-03,76998
421122,Danny,Schnelling,Staff,1999-12-02,51336
77829,Flemming,Parfitt,Staff,1999-12-02,40000
70767,Hinrich,Gewali,Engineer,1999-12-02,47511
235899,Toshiko,Picht,Engineer,1999-12-02,49109
443847,Leucio,Ligten,Engineer,1999-12-01,50107
42153,Shushma,Ecklund,Staff,1999-12-01,74913
42033,Reuven,Compeau,Technique Leader,1999-12-01,60624
466755,Zhongwei,Gill,Staff,1999-12-01,76502
209218,Utz,Kopetz,Engineer,1999-12-01,40000
92191,Conal,Ossenbruggen,Staff,1999-11-30,40167
286534,Yonghoan,Eastman,Assistant Engineer,1999-11-30,51086
427682,Boalin,Birta,Senior Staff,1999-11-30,78669
267904,Suebskul,Rande,Assistant Engineer,1999-11-30,52749
453211,Tayeb,Merro,Senior Engineer,1999-11-30,40592
480091,Morris,Shimshoni,Engineer,1999-11-29,40000
204793,Heejo,Vickson,Senior Staff,1999-11-28,40000
223100,Mayumi,Speel,Staff,1999-11-28,40000
74413,Juichirou,Nitta,Engineer,1999-11-28,51003
93130,Kwun,Neimat,Senior Staff,1999-11-28,90388
228587,Katsuo,Basagni,Senior Staff,1999-11-28,67187
67476,Gino,Kilgour,Staff,1999-11-28,40000
211875,Venkatesan,Azevdeo,Staff,1999-11-27,55218
216389,Garnik,Naudin,Engineer,1999-11-27,49848
73532,Becky,dAstous,Staff,1999-11-27,58237
218768,Yurij,Gaughan,Senior Engineer,1999-11-27,40000
37260,Sham,Fontan,Senior Staff,1999-11-27,40795
408257,Moriyoshi,Rusterholz,Engineer,1999-11-25,40000
268218,Xiping,Maliniak,Staff,1999-11-25,48377
221645,Pradeep,Rabehasaina,Engineer,1999-11-25,72769
238749,Cordelia,Hebert,Senior Engineer,1999-11-25,40000
463921,Lalit,Bahr,Staff,1999-11-24,66887
30656,Gritta,Ranst,Engineer,1999-11-24,40000
274087,Mari,Olano,Engineer,1999-11-24,48955
33257,Duri,Rotem,Staff,1999-11-23,40000
73777,Carrsten,DeMori,Engineer,1999-11-23,44146
490010,Kshitij,Ranft,Engineer,1999-11-23,53823
77208,Bartek,Malabarba,Technique Leader,1999-11-23,61014
495112,Shigeaki,Lorch,Engineer,1999-11-23,48876
264860,Menkae,Munos,Engineer,1999-11-22,79278
466787,Heekeun,Piazza,Engineer,1999-11-22,40000
433764,Conrado,Zolotykh,Staff,1999-11-22,43414
48393,Kristina,Flasterstein,Engineer,1999-11-22,40000
457982,Arumugam,Vecchi,Technique Leader,1999-11-22,40000
34938,Macha,Penz,Engineer,1999-11-21,42794
432653,Nevin,Skrikant,Engineer,1999-11-21,51254
223078,Georg,Vieri,Staff,1999-11-21,56561
418361,Oguz,Hagimont,Engineer,1999-11-21,55299
93261,Pintsang,Luca,Assistant Engineer,1999-11-20,44298
422342,Mario,Schahn,Engineer,1999-11-20,77832
98285,Georg,Piancastelli,Technique Leader,1999-11-20,40000
72907,Alejandra,Weisert,Staff,1999-11-20,40000
264629,Guiseppe,Herbst,Senior Staff,1999-11-20,53770
14322,Shem,Kakkad,Engineer,1999-11-19,50363
233489,Chaosheng,Kopetz,Staff,1999-11-18,41656
445932,Mariusz,Schrooten,Engineer,1999-11-18,43648
25037,Adib,Magliocco,Senior Engineer,1999-11-18,63524
436156,Nectarios,Benaini,Assistant Engineer,1999-11-18,60657
220667,Turgut,Lyonns,Engineer,1999-11-17,55723
470117,Hailing,Varman,Assistant Engineer,1999-11-17,40000
496484,Vugranam,Attimonelli,Engineer,1999-11-17,40000
255132,Yifei,Turnbull,Senior Staff,1999-11-16,52383
270304,Amabile,Ramsak,Engineer,1999-11-16,40000
406440,Moty,Parveen,Staff,1999-11-16,66187
492622,Pintsang,Kading,Staff,1999-11-15,75306
51507,Khalid,Gubsky,Staff,1999-11-15,75929
79911,Heather,Zaumen,Senior Engineer,1999-11-14,40000
470774,Tsz,Falster,Technique Leader,1999-11-14,40000
12514,Tomofumi,Melter,Engineer,1999-11-13,54241
65711,Sarita,Kalloufi,Engineer,1999-11-12,46032
472719,Arunas,Lammel,Staff,1999-11-12,40000
34151,Guttorm,Reinhard,Staff,1999-11-12,44063
483140,Sigeru,Sridhar,Engineer,1999-11-12,40000
283429,Odoardo,Narlikar,Engineer,1999-11-11,40000
78006,Palash,Rosca,Technique Leader,1999-11-11,42012
227463,Zorica,Tsunoo,Engineer,1999-11-11,40000
84331,Ziyad,Rousseau,Staff,1999-11-10,54627
62591,Limsoon,Baja,Staff,1999-11-10,40000
421324,Boaz,Heuter,Staff,1999-11-10,40000
460619,Huei,Weedon,Staff,1999-11-10,40000
441688,Jayesh,Schwaller,Staff,1999-11-10,40648
438909,Kish,Smailagic,Senior Engineer,1999-11-09,54319
478996,Mary,Conti,Engineer,1999-11-09,59804
453766,Vatsa,Begiun,Staff,1999-11-08,74193
452837,Muzhong,Garnham,Assistant Engineer,1999-11-08,40360
259734,Reinhold,Gils,Staff,1999-11-08,69301
63740,Doohun,Lenart,Staff,1999-11-08,40624
210098,Mingzeng,Milicic,Staff,1999-11-08,63442
26833,Hirochika,Gustavson,Senior Staff,1999-11-07,62956
11772,Gaurav,Penz,Engineer,1999-11-07,61295
448260,Gad,Garnick,Staff,1999-11-07,56208
223399,Aamer,Radivojevic,Engineer,1999-11-07,45792
495761,Koldo,Covnot,Staff,1999-11-06,67832
259202,Bodh,Moehrke,Senior Engineer,1999-11-06,40000
256682,Troy,Imataki,Engineer,1999-11-06,43532
298683,Divine,Skrikant,Engineer,1999-11-05,40000
68599,Alair,Zucker,Staff,1999-11-05,79116
466835,Shridhar,Jenevein,Staff,1999-11-05,40724
56844,Kiyotoshi,Malabarba,Engineer,1999-11-05,40000
82911,Irena,Bierman,Staff,1999-11-05,51677
211350,Deborah,Zeilberger,Staff,1999-11-04,40000
77615,Jianwen,Krupka,Staff,1999-11-04,63718
228853,Mayumi,Basawa,Engineer,1999-11-04,41588
98247,Shakhar,Skafidas,Senior Engineer,1999-11-04,40000
498622,Paddy,Birrer,Staff,1999-11-03,69351
100492,Vincent,Tibblin,Senior Staff,1999-11-03,84588
412332,Eirik,Basagni,Engineer,1999-11-02,46556
445630,Bangqing,Rosch,Engineer,1999-11-02,40000
414130,Etsuo,Gyimothy,Engineer,1999-11-02,42938
297948,Kristinn,Adachi,Senior Engineer,1999-11-01,40000
99989,Divine,Docker,Engineer,1999-11-01,42342
222109,Souichi,Fargier,Engineer,1999-10-31,40000
265696,Fayez,Jiang,Senior Staff,1999-10-31,40000
252463,Remmert,Lanteri,Engineer,1999-10-31,47493
281113,Sumali,Giaccio,Engineer,1999-10-31,65527
454912,Roded,Hatcliff,Staff,1999-10-31,57569
74101,Debaprosad,Porenta,Technique Leader,1999-10-30,51287
291827,Prasadram,Mamelak,Engineer,1999-10-30,48456
471986,Mads,Ranst,Assistant Engineer,1999-10-30,46126
232722,Mitchel,Srimani,Staff,1999-10-30,55443
237585,Elzbieta,Kawashima,Senior Staff,1999-10-29,81223
468961,Rafael,Piancastelli,Engineer,1999-10-29,40135
446516,Kristin,Schlegelmilch,Engineer,1999-10-29,40000
261135,Chriss,Noriega,Engineer,1999-10-29,50209
283079,Lubomir,Kitai,Senior Staff,1999-10-28,49474
201884,Chikara,Matzat,Engineer,1999-10-28,40000
489280,Kristen,Fraisse,Staff,1999-10-28,54746
100118,Sajjad,Goldhammer,Technique Leader,1999-10-28,51892
221274,Mingdong,Gargeya,Senior Engineer,1999-10-27,61597
96965,Marjo,Riexinger,Staff,1999-10-27,62399
73415,Renny,Pillow,Senior Staff,1999-10-27,70580
445550,Shaz,Baik,Technique Leader,1999-10-26,40000
228122,Sugwoo,Kaltofen,Engineer,1999-10-26,40000
466168,Khun,McFarlin,Engineer,1999-10-26,40000
40118,Fen,Uludag,Engineer,1999-10-26,46413
408942,Martine,Brizzi,Staff,1999-10-25,57108
109483,Ziya,Schlumberger,Staff,1999-10-25,58846
106721,Shigehiro,Furedi,Engineer,1999-10-25,53043
420809,Sverrir,Buchter,Engineer,1999-10-24,44243
461654,Douadi,Kropp,Senior Engineer,1999-10-24,43364
432547,Gretta,Waeselynck,Staff,1999-10-23,81540
493515,Volkmar,Bade,Engineer,1999-10-23,40000
232613,Uwe,Butner,Senior Engineer,1999-10-23,40000
469975,Akeel,Kusalik,Engineer,1999-10-23,49102
229989,Qiwen,Braunschweig,Staff,1999-10-22,43914
289279,Ziva,Pelz,Staff,1999-10-22,40000
447564,Charmane,Kriebel,Engineer,1999-10-22,66661
274392,Matt,Schrooten,Staff,1999-10-22,40000
267160,Alselm,Brookner,Engineer,1999-10-22,45998
50102,Adib,Boudaillier,Engineer,1999-10-21,40000
443554,Yolla,Klyachko,Engineer,1999-10-21,40000
266716,Bernt,Buchter,Technique Leader,1999-10-20,40000
33309,Kien,Bodoff,Senior Engineer,1999-10-20,73339
12717,Tzu,Jiafu,Staff,1999-10-20,53194
489370,Petter,Beausoleil,Staff,1999-10-20,47197
277294,Teiji,Thombley,Engineer,1999-10-19,46436
494070,Ghassan,Preusig,Staff,1999-10-19,58327
253340,Val,Broder,Senior Engineer,1999-10-19,51186
31811,Zine,Raney,Staff,1999-10-19,79747
227969,Falguni,Mandell,Staff,1999-10-19,82501
499292,Sarita,Schiettecatte,Staff,1999-10-19,61862
10504,Xiong,Varker,Staff,1999-10-19,43931
254223,Geraldo,Vieth,Staff,1999-10-19,74043
217764,Ingmar,Massonet,Engineer,1999-10-18,40000
273617,Theron,Nyanchama,Senior Staff,1999-10-18,76704
40113,Rosine,Wissmann,Senior Staff,1999-10-18,52083
417477,Abdelkader,Gadepally,Staff,1999-10-18,40000
468903,Lucian,Bael,Engineer,1999-10-18,54499
435512,Yakkov,Orsini,Senior Engineer,1999-10-18,67391
453235,Unal,Harbusch,Staff,1999-10-17,75813
203639,Mircea,Farrag,Engineer,1999-10-17,40000
244188,Yuping,Lanteri,Staff,1999-10-17,92497
27236,Kotesh,Wegerle,Staff,1999-10-17,40000
259783,Genevieve,Luby,Staff,1999-10-17,40000
222359,Kristen,Murtafg,Engineer,1999-10-17,47481
24720,Owen,Zirintsis,Engineer,1999-10-17,58014
215016,Uinam,Sullins,Senior Engineer,1999-10-17,40000
19249,Saniya,Iivonen,Senior Engineer,1999-10-17,40000
462248,Manton,Vrecion,Engineer,1999-10-17,40000
223937,Heekeun,Schoegge,Senior Engineer,1999-10-16,40000
487697,Conrado,Marciano,Staff,1999-10-16,58594
213069,Sajjad,Mikschl,Staff,1999-10-16,53589
413775,Kensyu,Heuser,Staff,1999-10-16,40000
40520,Danny,Gajiwala,Engineer,1999-10-16,66529
55499,Kamakshi,Diderrich,Senior Engineer,1999-10-16,48147
200202,Maria,Radwan,Senior Staff,1999-10-16,63975
226954,Shushma,Pietrzykowski,Engineer,1999-10-16,42442
214358,Ravishankar,Pileggi,Senior Staff,1999-10-15,40055
468122,Sarita,Vieth,Senior Staff,1999-10-15,75432
403424,Genta,Demeyer,Staff,1999-10-15,45241
279162,Reinhard,Kavraki,Engineer,1999-10-14,59749
486153,Zorica,Gien,Senior Staff,1999-10-14,40000
55180,Ung,Falco,Senior Engineer,1999-10-13,40000
285087,Masako,Badache,Senior Staff,1999-10-13,70724
299688,Herbert,Plumb,Technique Leader,1999-10-12,40000
464864,Shen,Schmittgen,Senior Staff,1999-10-12,73955
218619,Theirry,Unni,Staff,1999-10-11,41559
496174,Mary,Staudhammer,Staff,1999-10-11,77394
298021,Rosella,Raoux,Engineer,1999-10-11,40000
488114,Krister,DuBourdieux,Engineer,1999-10-11,40000
408974,Jouko,Fasbender,Staff,1999-10-10,52308
495277,Shaunak,Dalphin,Assistant Engineer,1999-10-10,40000
490102,Oguz,Gulik,Engineer,1999-10-10,46494
492727,Wanqing,Brickell,Engineer,1999-10-10,72527
471726,Xiadong,Hashii,Engineer,1999-10-10,48118
27193,Dulce,Nivat,Technique Leader,1999-10-09,55338
107718,Ibibia,Dehkordi,Engineer,1999-10-09,40000
410007,Gererd,Mikschl,Engineer,1999-10-08,59713
13727,Vitali,Merey,Staff,1999-10-07,50798
298923,Shigehiro,Randt,Engineer,1999-10-07,49728
47553,Falguni,Zallocco,Engineer,1999-10-07,68388
55861,Alois,Delgrande,Assistant Engineer,1999-10-07,40000
487601,Aksel,Emiris,Engineer,1999-10-07,40000
495058,Mabhin,Keirsey,Staff,1999-10-07,40000
104745,Hongzhu,Lichtner,Engineer,1999-10-07,40000
484751,Nobuyoshi,Coombs,Engineer,1999-10-05,51364
263573,Visit,Anguita,Engineer,1999-10-05,59935
427841,Shaz,Schaad,Senior Staff,1999-10-05,99462
463548,Chinho,Huhdanpaa,Engineer,1999-10-04,40000
225766,Lalit,Peyn,Senior Staff,1999-10-04,59428
62433,IEEE,McFarlin,Engineer,1999-10-04,46720
297304,Sukumar,Foote,Staff,1999-10-04,43697
100927,Troy,Lovengreen,Assistant Engineer,1999-10-03,42027
109878,Goetz,Goldhammer,Senior Engineer,1999-10-03,57669
255308,Francesca,Gronowski,Staff,1999-10-03,92920
60146,Dines,Clouatre,Engineer,1999-10-03,48567
49106,Krassimir,Lorin,Engineer,1999-10-03,42254
244661,Idoia,Parfitt,Senior Engineer,1999-10-02,47970
220998,Eckart,Bael,Staff,1999-10-02,81524
477118,Hatim,Hutton,Senior Engineer,1999-10-01,45230
35501,Gretta,Scharstein,Engineer,1999-10-01,45820
288768,Khosrow,Lindenbaum,Technique Leader,1999-10-01,40000
205004,Masadi,Lueh,Engineer,1999-10-01,40000
26313,Guoxiang,Perri,Senior Engineer,1999-10-01,45004
52230,Leah,Stavenow,Senior Staff,1999-09-30,59257
46261,Owen,Uehara,Staff,1999-09-30,84153
486166,Akeno,Berztiss,Engineer,1999-09-30,40000
204428,Yuping,Chandrasekhar,Engineer,1999-09-30,40000
39533,Urs,Pettit,Engineer,1999-09-29,58823
20181,Thodoros,Wegerle,Staff,1999-09-29,87295
493297,Roddy,Kusalik,Staff,1999-09-29,53734
285819,Arno,Petersohn,Staff,1999-09-29,40287
238275,Huai,Middleton,Engineer,1999-09-29,40000
72916,Arun,Kitsuregawa,Staff,1999-09-28,53222
440520,Berna,Sidje,Engineer,1999-09-28,57470
53862,Manohar,Siprelle,Staff,1999-09-28,59696
34377,Hidde,Menhoudj,Senior Engineer,1999-09-28,40000
464909,Claudi,Escriba,Engineer,1999-09-27,41262
45342,Fatemeh,Sluis,Engineer,1999-09-26,52468
415365,Dipankar,Negoita,Staff,1999-09-26,89577
401839,JoAnne,Makrucki,Senior Engineer,1999-09-26,54653
24178,Jouko,Sherertz,Engineer,1999-09-25,49316
14914,Gretta,Benzaken,Engineer,1999-09-25,40000
259392,Mary,Jansen,Senior Engineer,1999-09-25,54087
239184,Jinpo,Luce,Senior Engineer,1999-09-25,63460
